,symbol,qty,entryPrice,LstPrice 2007_14:21,P&L[u],value_usd,w%,RtD%,PnL_D,PnL_D%,account,strategy,substrategy
0,TOTAL,,,,71,$333,39.4%,,$18.5,2.6%,-12345,-12345,-12345
1,SOLUSDT,5.0, 20.56,26.78,31,$134,15.9%,1.8%,$2.4,0.3%,smaillard75,MOZAIC,
2,LINKUSDT,10.4, 7.45,8.17,8,$85,10.1%,18.3%,$13.2,1.8%,smaillard75,MOZAIC,
3,XLMUSDT,499.0, 0.14,0.16,13,$81,9.6%,3.9%,$3.0,0.4%,smaillard75,MOZAIC,
4,XRPUSDT,75.8, 0.71,0.80,7,$61,7.2%,-2.4%,$-1.5,-0.2%,smaillard75,MOZAIC,
5,UNIUSDT,6.0, 5.83,6.03,1,$36,4.3%,2.6%,$0.9,0.1%,smaillard75,MOZAIC,
6,MATICUSDT,43.0, 0.75,0.78,2,$34,4.0%,5.4%,$1.7,0.2%,smaillard75,MOZAIC,
7,BCHUSDT,0.1, 116.00,248.42,11,$21,2.5%,1.8%,$0.4,0.0%,smaillard75,MOZAIC,
8,ADAUSDT,28.0, 0.33,0.32,-0,$9,1.1%,0.4%,$0.0,0.0%,smaillard75,MOZAIC,
9,ATOMUSDT,-0.7, 9.24,9.42,-0,$-7,-0.8%,2.7%,$-0.2,-0.0%,smaillard75,MOZAIC,
10,DOGEUSDT,-95.0, 0.07,0.07,-1,$-7,-0.8%,2.8%,$-0.2,-0.0%,smaillard75,MOZAIC,
11,DOTUSDT,-1.3, 4.79,5.38,-1,$-7,-0.8%,3.6%,$-0.2,-0.0%,smaillard75,MOZAIC,
12,ETCUSDT,-0.6, 18.80,18.93,-0,$-11,-1.3%,0.9%,$-0.1,-0.0%,smaillard75,MOZAIC,
13,ETHUSDT,-0.0, 1900.20,1912.63,-0,$-11,-1.4%,1.3%,$-0.1,-0.0%,smaillard75,MOZAIC,
14,XMRUSDT,-0.1, 162.60,166.72,-0,$-13,-1.5%,0.6%,$-0.1,-0.0%,smaillard75,MOZAIC,
15,LTCUSDT,-0.2, 93.96,93.42,0,$-15,-1.8%,1.6%,$-0.2,-0.0%,smaillard75,MOZAIC,
16,BNBUSDT,-0.1, 242.59,243.90,-0,$-27,-3.2%,1.2%,$-0.3,-0.0%,smaillard75,MOZAIC,
17,BTCUSDT,-0.0, 30308.00,30138.28,0,$-30,-3.6%,0.8%,$-0.2,-0.0%,smaillard75,MOZAIC,
