14Jul23 18:01,arrival_price,totrd_qty,totrd_usd,px_trd,qty_trd,value_trd,PnLvsClose,PnLvsArrival,!!check!!,px_lst,PnLvsLast
SOLUSDT,26.352,-1.00,$-26.0,27.013,-2.00,$-54,$0.7,$0.7,!!!KO!!!,26.923,$0.2
XLMUSDT,0.129,187.00,$24.0,0.137,606.00,$83,$-1.4,$-1.6,ok,.16786,$18.6
XRPUSDT,0.691,34.60,$24.0,0.735,123.50,$91,$-2.1,$-1.5,ok,.8197,$10.4
ETCUSDT,18.585,-1.18,$-22.0,19.086,-1.72,$-33,$0.0,$0.6,!!!KO!!!,19.004,$0.1
LTCUSDT,92.945,-0.20,$-19.0,97.596,-0.72,$-70,$1.8,$0.9,!!!KO!!!,93.39,$3.0
TRXUSDT,0.079,-201.00,$-16.0,0.081,-718.00,$-58,$0.6,$0.3,!!!KO!!!,.08088,$-0.1
MATICUSDT,0.787,-13.00,$-10.0,0.819,-47.00,$-39,$0.6,$0.4,!!!KO!!!,.7801,$1.8
ADAUSDT,0.321,27.00,$9.0,0.340,77.00,$26,$-0.9,$-0.5,ok,.3256,$-1.1
ATOMUSDT,9.538,0.76,$7.0,9.837,2.29,$23,$-0.1,$-0.2,ok,9.348,$-1.1
BCHUSDT,260.515,-0.02,$-6.0,268.871,-0.09,$-24,$0.5,$0.2,!!!KO!!!,246.94,$2.0
UNIUSDT,5.803,-1.00,$-6.0,5.853,-3.00,$-18,$-0.1,$0.1,!!!KO!!!,5.947,$-0.3
XMRUSDT,156.845,-0.04,$-6.0,162.503,-0.12,$-20,$0.2,$0.2,!!!KO!!!,167.52,$-0.6
BNBUSDT,244.465,-0.02,$-5.0,nan,nan,$nan,$nan,$nan,!!!KO!!!,244.22,$nan
LINKUSDT,nan,nan,$nan,7.098,-0.73,$-5,$0.1,$nan,!!!KO!!!,7.302,$-0.1
ETHUSDT,nan,nan,$nan,1998.540,0.00,$6,$-0.2,$nan,!!!KO!!!,1912.72,$-0.3
DOGEUSDT,nan,nan,$nan,0.071,207.00,$15,$-0.4,$nan,!!!KO!!!,.07077,$0.1
