open_time,BTCUSDT,ETHUSDT,XRPUSDT
2018-12-31 00:00:00,3789.31,136.58,0.36438
2018-12-31 00:30:00,3786.02,135.93,0.3615
2018-12-31 01:00:00,3755.85,133.83,0.3597
2018-12-31 01:30:00,3745.59,134.01,0.358
2018-12-31 02:00:00,3751.01,134.55,0.3589
2018-12-31 02:30:00,3715.73,132.01,0.3545
2018-12-31 03:00:00,3725.48,132.2,0.35305
2018-12-31 03:30:00,3738.73,133.33,0.35447
2018-12-31 04:00:00,3742.0,133.47,0.3542
2018-12-31 04:30:00,3731.76,133.58,0.355
2018-12-31 05:00:00,3745.04,133.59,0.353
2018-12-31 05:30:00,3735.0,133.01,0.354
2018-12-31 06:00:00,3742.48,133.52,0.3551
2018-12-31 06:30:00,3746.8,134.2,0.35583
2018-12-31 07:00:00,3753.46,134.0,0.35641
2018-12-31 07:30:00,3750.76,134.07,0.3559
2018-12-31 08:00:00,3743.15,133.7,0.35454
2018-12-31 08:30:00,3750.67,134.06,0.35475
2018-12-31 09:00:00,3751.04,133.67,0.353
2018-12-31 09:30:00,3752.88,133.89,0.35305
2018-12-31 10:00:00,3769.0,134.43,0.355
2018-12-31 10:30:00,3770.0,134.63,0.35583
2018-12-31 11:00:00,3692.11,132.9,0.34664
2018-12-31 11:30:00,3716.66,133.45,0.34944
2018-12-31 12:00:00,3715.0,133.65,0.34803
2018-12-31 12:30:00,3718.61,133.86,0.34932
2018-12-31 13:00:00,3725.85,134.48,0.35121
2018-12-31 13:30:00,3726.49,134.46,0.3501
2018-12-31 14:00:00,3724.81,134.19,0.3487
2018-12-31 14:30:00,3730.29,134.23,0.34953
2018-12-31 15:00:00,3721.11,134.41,0.35082
2018-12-31 15:30:00,3744.26,134.95,0.35322
2018-12-31 16:00:00,3731.99,133.52,0.35307
2018-12-31 16:30:00,3725.0,133.68,0.35252
2018-12-31 17:00:00,3722.0,133.69,0.35172
2018-12-31 17:30:00,3729.08,134.54,0.35195
2018-12-31 18:00:00,3731.64,134.45,0.35148
2018-12-31 18:30:00,3735.72,134.53,0.35203
2018-12-31 19:00:00,3725.0,134.02,0.35117
2018-12-31 19:30:00,3630.33,128.7,0.3435
2018-12-31 20:00:00,3657.7,130.03,0.3453
2018-12-31 20:30:00,3668.0,130.4,0.34639
2018-12-31 21:00:00,3669.01,130.3,0.34638
2018-12-31 21:30:00,3665.0,129.79,0.3445
2018-12-31 22:00:00,3662.02,129.5,0.34469
2018-12-31 22:30:00,3670.87,130.18,0.34606
2018-12-31 23:00:00,3685.01,130.94,0.34839
2018-12-31 23:30:00,3684.22,130.6,0.34687
2019-01-01 00:00:00,3689.88,131.01,0.34703
2019-01-01 00:30:00,3693.0,131.16,0.34712
2019-01-01 01:00:00,3691.22,131.26,0.34766
2019-01-01 01:30:00,3684.22,131.0,0.34717
2019-01-01 02:00:00,3675.04,130.36,0.34603
2019-01-01 02:30:00,3680.0,130.0,0.34533
2019-01-01 03:00:00,3687.58,130.71,0.34617
2019-01-01 03:30:00,3685.78,130.9,0.34785
2019-01-01 04:00:00,3685.94,131.3,0.34858
2019-01-01 04:30:00,3689.72,132.06,0.35022
2019-01-01 05:00:00,3692.73,132.37,0.35052
2019-01-01 05:30:00,3697.0,132.64,0.35125
2019-01-01 06:00:00,3698.96,132.67,0.35067
2019-01-01 06:30:00,3697.0,132.9,0.34971
2019-01-01 07:00:00,3703.34,133.21,0.35056
2019-01-01 07:30:00,3704.0,133.01,0.35172
2019-01-01 08:00:00,3707.0,133.19,0.35211
2019-01-01 08:30:00,3714.5,134.21,0.35354
2019-01-01 09:00:00,3708.3,134.07,0.35122
2019-01-01 09:30:00,3696.14,133.55,0.35096
2019-01-01 10:00:00,3698.0,133.66,0.35101
2019-01-01 10:30:00,3708.27,133.68,0.351
2019-01-01 11:00:00,3711.66,133.84,0.3518
2019-01-01 11:30:00,3706.88,133.71,0.35152
2019-01-01 12:00:00,3698.25,133.17,0.35101
2019-01-01 12:30:00,3705.74,133.94,0.3501
2019-01-01 13:00:00,3708.41,133.87,0.3515
2019-01-01 13:30:00,3711.28,134.0,0.35134
2019-01-01 14:00:00,3684.21,132.95,0.35
2019-01-01 14:30:00,3692.98,133.51,0.35003
2019-01-01 15:00:00,3666.01,132.26,0.3475
2019-01-01 15:30:00,3677.48,132.82,0.34822
2019-01-01 16:00:00,3677.48,132.5,0.34873
2019-01-01 16:30:00,3688.0,133.0,0.34976
2019-01-01 17:00:00,3690.0,133.16,0.35049
2019-01-01 17:30:00,3675.01,132.52,0.34978
2019-01-01 18:00:00,3670.0,131.5,0.3477
2019-01-01 18:30:00,3642.0,131.0,0.34661
2019-01-01 19:00:00,3659.56,132.04,0.34792
2019-01-01 19:30:00,3670.89,133.1,0.34895
2019-01-01 20:00:00,3675.67,135.16,0.35053
2019-01-01 20:30:00,3701.69,136.89,0.35465
2019-01-01 21:00:00,3706.32,137.51,0.3549
2019-01-01 21:30:00,3700.0,137.0,0.3526
2019-01-01 22:00:00,3692.42,136.21,0.3533
2019-01-01 22:30:00,3701.91,136.29,0.35413
2019-01-01 23:00:00,3706.43,136.71,0.35425
2019-01-01 23:30:00,3779.08,137.5,0.35784
2019-01-02 00:00:00,3765.42,138.22,0.35734
2019-01-02 00:30:00,3763.75,138.07,0.35722
2019-01-02 01:00:00,3773.58,138.38,0.35773
2019-01-02 01:30:00,3765.75,137.76,0.3567
2019-01-02 02:00:00,3768.0,137.79,0.3565
2019-01-02 02:30:00,3775.8,138.18,0.3567
2019-01-02 03:00:00,3779.44,138.46,0.3571
2019-01-02 03:30:00,3773.79,138.02,0.35715
2019-01-02 04:00:00,3765.0,138.3,0.35666
2019-01-02 04:30:00,3771.17,138.76,0.3569
2019-01-02 05:00:00,3768.0,138.75,0.35651
2019-01-02 05:30:00,3769.0,138.77,0.35664
2019-01-02 06:00:00,3769.42,138.91,0.35666
2019-01-02 06:30:00,3750.45,138.3,0.3545
2019-01-02 07:00:00,3755.4,138.96,0.3535
2019-01-02 07:30:00,3758.9,142.37,0.35527
2019-01-02 08:00:00,3770.09,143.42,0.3566
2019-01-02 08:30:00,3772.11,144.31,0.3584
2019-01-02 09:00:00,3770.0,143.65,0.35712
2019-01-02 09:30:00,3770.03,144.35,0.35719
2019-01-02 10:00:00,3770.03,144.36,0.35687
2019-01-02 10:30:00,3772.23,145.22,0.35731
2019-01-02 11:00:00,3777.82,146.83,0.35971
2019-01-02 11:30:00,3780.21,147.45,0.36078
2019-01-02 12:00:00,3778.23,146.33,0.35995
2019-01-02 12:30:00,3780.64,146.96,0.36008
2019-01-02 13:00:00,3790.82,147.95,0.36149
2019-01-02 13:30:00,3805.0,149.21,0.36259
2019-01-02 14:00:00,3796.51,149.21,0.36165
2019-01-02 14:30:00,3802.96,149.3,0.36132
2019-01-02 15:00:00,3799.79,148.56,0.3618
2019-01-02 15:30:00,3785.75,146.95,0.36018
2019-01-02 16:00:00,3795.0,147.92,0.3613
2019-01-02 16:30:00,3810.27,149.22,0.3632
2019-01-02 17:00:00,3811.01,147.69,0.3644
2019-01-02 17:30:00,3816.43,148.45,0.36612
2019-01-02 18:00:00,3807.0,147.2,0.36533
2019-01-02 18:30:00,3816.02,148.3,0.367
2019-01-02 19:00:00,3801.14,148.1,0.36755
2019-01-02 19:30:00,3807.63,148.45,0.3676
2019-01-02 20:00:00,3812.34,149.31,0.36615
2019-01-02 20:30:00,3822.02,149.76,0.3675
2019-01-02 21:00:00,3830.06,150.4,0.3673
2019-01-02 21:30:00,3841.18,151.15,0.36803
2019-01-02 22:00:00,3842.46,152.0,0.36882
2019-01-02 22:30:00,3843.43,151.82,0.369
2019-01-02 23:00:00,3857.63,152.7,0.37013
2019-01-02 23:30:00,3851.0,151.19,0.3684
2019-01-03 00:00:00,3840.0,149.41,0.36469
2019-01-03 00:30:00,3828.7,148.67,0.36302
2019-01-03 01:00:00,3821.14,149.26,0.36205
2019-01-03 01:30:00,3821.19,149.55,0.36185
2019-01-03 02:00:00,3835.01,150.84,0.36259
2019-01-03 02:30:00,3825.85,150.0,0.36285
2019-01-03 03:00:00,3832.0,150.52,0.36309
2019-01-03 03:30:00,3838.5,150.7,0.36443
2019-01-03 04:00:00,3840.0,151.46,0.36409
2019-01-03 04:30:00,3833.7,151.81,0.36388
2019-01-03 05:00:00,3805.0,150.81,0.3615
2019-01-03 05:30:00,3812.0,150.65,0.3615
2019-01-03 06:00:00,3820.54,151.61,0.36225
2019-01-03 06:30:00,3813.62,151.21,0.36261
2019-01-03 07:00:00,3820.39,151.39,0.36223
2019-01-03 07:30:00,3824.5,151.47,0.36289
2019-01-03 08:00:00,3812.0,150.01,0.36
2019-01-03 08:30:00,3796.0,147.77,0.35675
2019-01-03 09:00:00,3796.91,147.99,0.35632
2019-01-03 09:30:00,3783.0,145.8,0.35551
2019-01-03 10:00:00,3804.07,147.83,0.35746
2019-01-03 10:30:00,3808.09,147.75,0.35772
2019-01-03 11:00:00,3796.99,145.6,0.3556
2019-01-03 11:30:00,3787.29,144.71,0.35465
2019-01-03 12:00:00,3796.82,146.13,0.3568
2019-01-03 12:30:00,3795.33,145.8,0.35673
2019-01-03 13:00:00,3810.55,147.6,0.35742
2019-01-03 13:30:00,3809.35,147.21,0.3575
2019-01-03 14:00:00,3802.17,147.1,0.35701
2019-01-03 14:30:00,3790.04,146.53,0.3563
2019-01-03 15:00:00,3785.32,145.93,0.35566
2019-01-03 15:30:00,3796.0,146.89,0.3557
2019-01-03 16:00:00,3732.89,144.2,0.35
2019-01-03 16:30:00,3730.0,143.33,0.34942
2019-01-03 17:00:00,3732.19,143.11,0.34943
2019-01-03 17:30:00,3747.0,144.45,0.35122
2019-01-03 18:00:00,3738.0,143.53,0.35038
2019-01-03 18:30:00,3747.01,143.77,0.35035
2019-01-03 19:00:00,3747.0,144.17,0.34778
2019-01-03 19:30:00,3740.11,144.07,0.34803
2019-01-03 20:00:00,3752.37,144.94,0.34904
2019-01-03 20:30:00,3760.88,145.88,0.351
2019-01-03 21:00:00,3768.79,146.73,0.352
2019-01-03 21:30:00,3768.23,145.75,0.35181
2019-01-03 22:00:00,3757.14,145.91,0.35128
2019-01-03 22:30:00,3760.18,146.75,0.35216
2019-01-03 23:00:00,3762.5,145.92,0.35201
2019-01-03 23:30:00,3757.87,145.27,0.352
2019-01-04 00:00:00,3730.0,143.54,0.34934
2019-01-04 00:30:00,3740.87,144.55,0.34929
2019-01-04 01:00:00,3749.67,146.12,0.3501
2019-01-04 01:30:00,3762.67,146.97,0.35281
2019-01-04 02:00:00,3750.41,145.8,0.35147
2019-01-04 02:30:00,3756.12,146.01,0.35201
2019-01-04 03:00:00,3752.41,146.12,0.35119
2019-01-04 03:30:00,3759.02,146.85,0.35186
2019-01-04 04:00:00,3761.94,149.6,0.35344
2019-01-04 04:30:00,3765.01,149.54,0.3537
2019-01-04 05:00:00,3764.37,150.3,0.35335
2019-01-04 05:30:00,3768.4,150.65,0.35352
2019-01-04 06:00:00,3775.92,152.62,0.35507
2019-01-04 06:30:00,3782.56,152.8,0.356
2019-01-04 07:00:00,3780.46,153.2,0.3559
2019-01-04 07:30:00,3779.54,152.05,0.3552
2019-01-04 08:00:00,3777.04,151.5,0.35427
2019-01-04 08:30:00,3766.75,150.62,0.35253
2019-01-04 09:00:00,3757.0,150.09,0.3507
2019-01-04 09:30:00,3760.0,149.41,0.35
2019-01-04 10:00:00,3756.48,149.49,0.35009
2019-01-04 10:30:00,3760.94,150.55,0.35075
2019-01-04 11:00:00,3768.62,150.95,0.35185
2019-01-04 11:30:00,3752.0,149.25,0.34999
2019-01-04 12:00:00,3739.0,148.68,0.3489
2019-01-04 12:30:00,3751.55,149.5,0.34959
2019-01-04 13:00:00,3742.08,148.18,0.3496
2019-01-04 13:30:00,3743.5,149.32,0.34936
2019-01-04 14:00:00,3743.72,148.94,0.34925
2019-01-04 14:30:00,3703.62,144.89,0.34385
2019-01-04 15:00:00,3703.57,144.66,0.34385
2019-01-04 15:30:00,3717.0,145.81,0.34506
2019-01-04 16:00:00,3717.3,146.15,0.3455
