open_time,BTCUSDT,ETHUSDT,XRPUSDT
2018-12-31 00:00:00,3803.12,137.81,0.36488
2018-12-31 00:30:00,3797.55,137.13,0.36509
2018-12-31 01:00:00,3795.38,136.56,0.36342
2018-12-31 01:30:00,3764.0,134.6,0.3603
2018-12-31 02:00:00,3762.65,134.94,0.36051
2018-12-31 02:30:00,3757.01,134.84,0.35968
2018-12-31 03:00:00,3727.93,132.55,0.35567
2018-12-31 03:30:00,3743.94,133.55,0.35631
2018-12-31 04:00:00,3744.59,133.6,0.35497
2018-12-31 04:30:00,3744.84,133.78,0.35583
2018-12-31 05:00:00,3753.78,134.21,0.3559
2018-12-31 05:30:00,3746.0,133.65,0.35477
2018-12-31 06:00:00,3747.82,133.92,0.35592
2018-12-31 06:30:00,3747.2,134.23,0.35583
2018-12-31 07:00:00,3757.0,134.76,0.35802
2018-12-31 07:30:00,3756.19,134.31,0.35648
2018-12-31 08:00:00,3755.35,134.35,0.35659
2018-12-31 08:30:00,3753.4,134.28,0.35566
2018-12-31 09:00:00,3751.85,134.1,0.35527
2018-12-31 09:30:00,3753.99,133.93,0.35334
2018-12-31 10:00:00,3775.59,134.77,0.35553
2018-12-31 10:30:00,3774.84,134.71,0.35594
2018-12-31 11:00:00,3772.0,134.71,0.35621
2018-12-31 11:30:00,3725.38,133.83,0.35098
2018-12-31 12:00:00,3725.42,133.97,0.35023
2018-12-31 12:30:00,3719.98,133.94,0.34951
2018-12-31 13:00:00,3731.87,134.55,0.35278
2018-12-31 13:30:00,3736.62,134.92,0.35152
2018-12-31 14:00:00,3732.23,134.63,0.3505
2018-12-31 14:30:00,3731.32,134.25,0.34953
2018-12-31 15:00:00,3769.42,136.1,0.3536
2018-12-31 15:30:00,3754.86,135.33,0.35515
2018-12-31 16:00:00,3752.22,135.3,0.35373
2018-12-31 16:30:00,3743.1,134.78,0.35454
2018-12-31 17:00:00,3737.59,134.39,0.35295
2018-12-31 17:30:00,3733.08,134.66,0.35254
2018-12-31 18:00:00,3736.57,134.92,0.35242
2018-12-31 18:30:00,3740.38,134.63,0.3526
2018-12-31 19:00:00,3741.27,134.71,0.35241
2018-12-31 19:30:00,3732.45,134.41,0.352
2018-12-31 20:00:00,3687.47,131.03,0.34943
2018-12-31 20:30:00,3671.73,131.01,0.34745
2018-12-31 21:00:00,3672.0,130.74,0.34716
2018-12-31 21:30:00,3673.55,130.59,0.34672
2018-12-31 22:00:00,3671.71,130.2,0.34604
2018-12-31 22:30:00,3671.76,130.22,0.3463
2018-12-31 23:00:00,3685.54,131.13,0.34858
2018-12-31 23:30:00,3698.12,131.46,0.34924
2019-01-01 00:00:00,3701.23,131.45,0.34864
2019-01-01 00:30:00,3693.96,131.28,0.34723
2019-01-01 01:00:00,3700.2,131.83,0.34928
2019-01-01 01:30:00,3699.08,131.5,0.34875
2019-01-01 02:00:00,3689.67,131.19,0.34808
2019-01-01 02:30:00,3684.76,130.7,0.34651
